id,text,label,language,code_switched,threat_type,indicators,source,has_url,url_count,has_mention,has_currency,is_shouting,all_caps_count,suspicious_unicode_count,normalized_text
1,"Hey, are we still meeting at 5pm today?",BENIGN,ENGLISH,False,NONE,,SYNTHETIC,False,0,False,False,False,0,0,"Hey, are we still meeting at 5pm today?"
2,"Thanks for the update, I'll review the document tonight.",BENIGN,ENGLISH,False,NONE,,SYNTHETIC,False,0,False,False,False,0,0,"Thanks for the update, I'll review the document tonight."
3,Your appointment with Dr. Bekele is confirmed for Thursday at 10am.,BENIGN,ENGLISH,False,NONE,,SYNTHETIC,False,0,False,False,False,0,0,Your appointment with Dr. Bekele is confirmed for Thursday at 10am.
4,Can you send me the file from yesterday's meeting?,BENIGN,ENGLISH,False,NONE,,SYNTHETIC,False,0,False,False,False,0,0,Can you send me the file from yesterday's meeting?
5,Happy birthday! Hope you have a great day.,BENIGN,ENGLISH,False,NONE,,SYNTHETIC,False,0,False,False,False,0,0,Happy birthday! Hope you have a great day.
6,Your account will be suspended today. Verify your account immediately: http://secure-bank0nline.com/verify,PHISHING,ENGLISH,False,CREDENTIAL_PHISHING,"urgency,account_verification,suspicious_url,credential_request",SYNTHETIC,True,1,False,False,False,0,0,Your account will be suspended today. Verify your account immediately: <URL>
7,"Congratulations! You have won 50,000 ETB. Click here to claim your prize: http://bit.ly/claim-prize",SCAM,ENGLISH,False,PRIZE_SCAM,"reward,call_to_action,suspicious_url",SYNTHETIC,True,1,False,True,True,1,0,Congratulations! You have won <CURRENCY>. Click here to claim your prize: <URL>
8,URGENT: Your bank account requires immediate verification. Send your OTP to complete the process.,PHISHING,ENGLISH,False,CREDENTIAL_PHISHING,"urgency,account_verification,otp_request,credential_request",SYNTHETIC,False,0,False,False,True,2,0,URGENT: Your bank account requires immediate verification. Send your OTP to complete the process.
9,Congratulations! You have been selected for a remote job. Pay 500 ETB registration fee to continue.,SCAM,ENGLISH,False,JOB_SCAM,"reward,financial_request,call_to_action",SYNTHETIC,False,0,False,True,True,1,0,Congratulations! You have been selected for a remote job. Pay <CURRENCY> registration fee to continue.
10,Your package could not be delivered. Pay the delivery fee using the link below: http://delivery-fee-pay.net,SCAM,ENGLISH,False,DELIVERY_SCAM,"financial_request,suspicious_url,call_to_action",SYNTHETIC,True,1,False,False,False,0,0,Your package could not be delivered. Pay the delivery fee using the link below: <URL>
11,ሰላም፣ ዛሬ ከሰዓት 5 ሰዓት ላይ እንገናኝ?,BENIGN,AMHARIC,False,NONE,,SYNTHETIC,False,0,False,False,False,0,0,ሰላም፣ ዛሬ ከሰዓት <NUM> ሰዓት ላይ እንገናኝ?
12,እናመሰግናለን፣ ስራው በደንብ ተከናውኗል።,BENIGN,AMHARIC,False,NONE,,SYNTHETIC,False,0,False,False,False,0,0,እናመሰግናለን፣ ስራው በደንብ ተከናውኗል።
13,የቀጠሮዎ ቀን ሐሙስ ጠዋት 10 ሰዓት ነው።,BENIGN,AMHARIC,False,NONE,,SYNTHETIC,False,0,False,False,False,0,0,የቀጠሮዎ ቀን ሐሙስ ጠዋት <NUM> ሰዓት ነው።
14,እባክዎ ትላንት የላክሁልዎትን ፋይል ይመልከቱ።,BENIGN,AMHARIC,False,NONE,,SYNTHETIC,False,0,False,False,False,0,0,እባክዎ ትላንት የላክሁልዎትን ፋይል ይመልከቱ።
15,መልካም ልደት! መልካም ቀን ይሁንልዎ።,BENIGN,AMHARIC,False,NONE,,SYNTHETIC,False,0,False,False,False,0,0,መልካም ልደት! መልካም ቀን ይሁንልዎ።
16,አካውንትዎ ዛሬ ይዘጋል። አሁኑኑ አካውንትዎን ያረጋግጡ፦ http://banki-verify.com,PHISHING,AMHARIC,False,CREDENTIAL_PHISHING,"urgency,account_verification,suspicious_url,credential_request",SYNTHETIC,True,1,False,False,False,0,0,አካውንትዎ ዛሬ ይዘጋል። አሁኑኑ አካውንትዎን ያረጋግጡ፦ <URL>
17,"እንኳን ደስ አለዎት! 50,000 ብር አሸንፈዋል። ሽልማቱን ለማግኘት እዚህ ይጫኑ።",SCAM,AMHARIC,False,PRIZE_SCAM,"reward,call_to_action",SYNTHETIC,False,0,False,True,False,0,0,እንኳን ደስ አለዎት! <CURRENCY> አሸንፈዋል። ሽልማቱን ለማግኘት እዚህ ይጫኑ።
18,የባንክ አካውንትዎ አስቸኳይ ማረጋገጫ ይፈልጋል። የOTP ኮድዎን ይላኩልን።,PHISHING,AMHARIC,False,CREDENTIAL_PHISHING,"urgency,account_verification,otp_request,credential_request",SYNTHETIC,False,0,False,False,False,0,0,የባንክ አካውንትዎ አስቸኳይ ማረጋገጫ ይፈልጋል። የOTP ኮድዎን ይላኩልን።
19,ለርቀት ስራ ተመርጠዋል! ለመቀጠል 500 ብር የምዝገባ ክፍያ ያድርጉ።,SCAM,AMHARIC,False,JOB_SCAM,"reward,financial_request,call_to_action",SYNTHETIC,False,0,False,True,False,0,0,ለርቀት ስራ ተመርጠዋል! ለመቀጠል <CURRENCY> የምዝገባ ክፍያ ያድርጉ።
20,እቃዎ መድረስ አልቻለም። የመላኪያ ክፍያ በዚህ ሊንክ ይክፈሉ፦ http://pay-delivery-et.com,SCAM,AMHARIC,False,DELIVERY_SCAM,"financial_request,suspicious_url,call_to_action",SYNTHETIC,True,1,False,False,False,0,0,እቃዎ መድረስ አልቻለም። የመላኪያ ክፍያ በዚህ ሊንክ ይክፈሉ፦ <URL>
21,"ሰላም, are we still on for our meeting today at 5pm?",BENIGN,MIXED,True,NONE,,SYNTHETIC,False,0,False,False,False,0,0,"ሰላም, are we still on for our meeting today at 5pm?"
22,"እናመሰግናለን for sending the report, ደህና እደር።",BENIGN,MIXED,True,NONE,,SYNTHETIC,False,0,False,False,False,0,0,"እናመሰግናለን for sending the report, ደህና እደር።"
23,Your appointment ከዶክተር ጋር is confirmed for Thursday at 10am.,BENIGN,MIXED,True,NONE,,SYNTHETIC,False,0,False,False,False,0,0,Your appointment ከዶክተር ጋር is confirmed for Thursday at 10am.
24,Please check the ፋይል that ላከልኝ yesterday.,BENIGN,MIXED,True,NONE,,SYNTHETIC,False,0,False,False,False,0,0,Please check the ፋይል that ላከልኝ yesterday.
25,"መልካም ልደት! Have a wonderful day, ውድ ጓደኛዬ።",BENIGN,MIXED,True,NONE,,SYNTHETIC,False,0,False,False,False,0,0,"መልካም ልደት! Have a wonderful day, ውድ ጓደኛዬ።"
26,"እንኳን ደስ አለዎት! You have won 50,000 ETB. Click here to claim your prize: http://bit.ly/etb-claim",SCAM,MIXED,True,PRIZE_SCAM,"reward,call_to_action,suspicious_url",SYNTHETIC,True,1,False,True,True,1,0,እንኳን ደስ አለዎት! You have won <CURRENCY>. Click here to claim your prize: <URL>
27,Your account ተዘግቷል። Please verify your account immediately: http://secure-verify-account.net,PHISHING,MIXED,True,CREDENTIAL_PHISHING,"urgency,account_verification,suspicious_url,credential_request",SYNTHETIC,True,1,False,False,False,0,0,Your account ተዘግቷል። Please verify your account immediately: <URL>
